SMILES	odor
C=CCOC(=O)CCC1CCCCC1	pineapple
C=CCOC(=O)CCC1CCCCC1	sweet
C=CCOC(=O)CCC1CCCCC1	tropical
C=CCOC(=O)CCC1CCCCC1	fruity
C=CCOC(=O)CCC1CCCCC1	candy
C=CCOC(=O)CCC1CCCCC1	apple
C=CCOC(=O)CCC1CCCCC1	green
C=CCOC(=O)CCCC1CCCCC1	fatty
C=CCOC(=O)CCCC1CCCCC1	fruity
C=CCOC(=O)CCCC1CCCCC1	pineapple
C=CCOC(=O)CCCCC1CCCCC1	fruity
C=CCOC(=O)CCCCC1CCCCC1	pineapple
C=CCOC(=O)CCCCC1CCCCC1	peach
C=CCOC(=O)CCCCC1CCCCC1	apricot
C=CCOC(=O)CCCCC1CCCCC1	apple
C=CCOC(=O)CCCCCC1CCCCC1	fatty
C=CCOC(=O)CCCCCC1CCCCC1	fruity
C=CCOC(=O)COC1=CC=CC=C1	honey
C=CCOC(=O)COC1=CC=CC=C1	pineapple
C=CCOC(=O)COC1=CC=CC=C1	sweet
C=CCOC(=O)COC1=CC=CC=C1	chamomile
C=CCOC(=O)COC1=CC=CC=C1	cocoa
C=CCOC(=O)COC1=CC=CC=C1	fruity
C=CCOC(=O)COC1=CC=CC=C1	fresh
C=CCOC(=O)COC1=CC=CC=C1	green
C=CCOC(=O)COC1=CC=CC=C1	camomile
C=CCOC(=O)COC1CCCCC1	green
C=CCOC(=O)COC1CCCCC1	herbaceous
C=CCOC(=O)COC1CCCCC1	galbanum
C=CCOC(=O)COC1CCCCC1	fruity
C=CCOC(=O)COC1CCCCC1	pineapple
C=CCOC(=O)COC1CCCCC1	leafy
C=CCOC(=O)COC1CCCCC1	spicy
C=CCOC(=O)COC1CCCCC1	woody
C=CCOC=O	ethereal
C=CCOC=O	fruity
C=CCOC1CC2CC1C3C2CC=C3	floral
C=CCOC1CC2CC1C3C2CC=C3	anisic
C=CCOC1CC2CC1C3C2CC=C3	fruity
C=CCOC1CC2CC1C3C2CC=C3	woody
C=CCOC1CC2CC1C3C2CC=C3	herbaceous
C=CCOCCC1=CC=CC=C1	green
C=CCOCCC1=CC=CC=C1	fruity
C=CCOCCC1=CC=CC=C1	mushroom
C=CCOCCC1=CC=CC=C1	honey
C=CCOCCO	mushroom
C=CCS	alliaceous
C=CCS	sulfurous
C=CCS	garlic
C=CCS	onion
C=CCS	roasted
C=CCS	cooked
C=CCS	onion
C=CCS	grilled
C=CCS	charred
C=CCS	meaty
C=CCSCC(C(=O)O)N	cooked
C=CCSCC(C(=O)O)N	roasted
C=CCSCC(C(=O)O)N	garlic
C=CCSCC(C(=O)O)N	allium
C=CCSCC=C	green
C=CCSCC=C	horseradish
C=CCSCC=C	sulfurous
C=CCSCC=C	onion
C=CCSCC=C	garlic
C=CCSCC=C	metallic
C=CCSCC=C	pungent
C=CCSS(=O)CC=C	garlic
C=CCSSCC=C	green
C=CCSSCC=C	sulfurous
C=CCSSCC=C	alliaceous
C=CCSSCC=C	onion
C=CCSSCC=C	garlic
C=CCSSCC=C	metallic
C=CCSSSCC=C	sulfurous
C=CCSSSCC=C	alliaceous
C=CCSSSCC=C	garlic
C=CCSSSCC=C	green
C=CCSSSCC=C	onion
C=CCSSSCC=C	metallic
C=CCSSSSCC=C	garlic
C=CCSSSSCC=C	onion
C=CCSSSSCC=C	sulfurous
C1=C(C(=C(C(=C1[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-])C)C(=O)C	woody
C1=C(C(=C(C(=C1[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-])C)C(=O)C	fatty
C1=C(C(=C(C(=C1[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-])C)C(=O)C	soapy
C1=C(C(=C(C(=C1[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-])C)C(=O)C	musk
C1=C(C(=C(C(=C1[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-])C)C(=O)C	dry
C1=C(C(=C(C(=C1[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-])C)C(=O)C	floral
C1=C(C(=C(C(=C1[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-])C)C(=O)C	powdery
C1=C(C(=C(C(=C1[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-])C)C(=O)C	sweet
